"Indicator","Value","SurveyYear"
"Number of men reporting sexual activity in the last 12 months (unweighted)",2532,2016
"Condom use at last higher risk sex (with a non-marital, non-cohabiting partner) [Men]",68.4,2016
"Number of men who had sex with a non-marital, non-cohabiting partner in the last 12 months",1787,2016
"Number of men who had sex with a non-marital, non-cohabiting partner in the last 12 months (unweighted)",1799,2016
"Higher-risk Sex (with multiple partners among all respondents) [Women]",4.5,2016
"Number of women",8514,2016
"Number of women (unweighted)",8514,2016
"Condom use during higher-risk sex (with multiple partners) [Women]",57.6,2016
"Number of women",387,2016
"Number of women (unweighted)",394,2016
"Mean number of sexual partners in lifetime [Women]",3.9,2016
"Number of women who ever had sexual intercourse",7205,2016
"Number of women who ever had sexual intercourse (unweighted)",7182,2016
"Higher-risk Sex (with multiple partners among all respondents) [Men]",17,2016
"Number of men",3202,2016
"Number of men (unweighted)",3179,2016
"Condom use during higher-risk sex (with multiple partners) [Men]",65.3,2016
"Number of men",544,2016
"Number of men (unweighted)",535,2016
"Mean number of sexual partners in lifetime [Men]",14.7,2016
"Number of men who ever had sexual intercourse",2488,2016
"Number of men who ever had sexual intercourse (unweighted)",2467,2016
"Point prevalence of concurrent sexual partners [Women]",1.5,2016
"Cumulative prevalence of concurrent sexual partners [Women]",3.1,2016
"Number of women",8514,2016
"Number of women (unweighted)",8514,2016
"Had concurrent sexual partners [Women]",68.1,2016
"Number of women with multiple partners in the 12 months preceding the survey",387,2016
"Number of women with multiple partners in the 12 months preceding the survey (unweighted)",394,2016
"Point prevalence of concurrent sexual partners [Men]",4.7,2016
"Cumulative prevalence of concurrent sexual partners [Men]",12.1,2016
"Number of men",3202,2016
"Number of men (unweighted)",3179,2016
"Had concurrent sexual partners [Men]",71,2016
"Number of men with multiple partners in the 12 months preceding the survey",544,2016
"Number of men with multiple partners in the 12 months preceding the survey (unweighted)",535,2016
"Ever paid for sexual intercourse",4.7,2016
"Paid for sexual intercourse in the past 12 months",2.9,2016
"Number of men",3202,2016
"Number of men (unweighted)",3179,2016
"Condom use at last paid sexual intercourse",83.1,2016
"Number of men who paid for sex in the last 12 months",92,2016
"Number of men who paid for sex in the last 12 months (unweighted)",86,2016
"Sex before the age of 15 [Women]",6.1,2016
"Number of young women",2842,2016
"Number of young women (unweighted)",2913,2016
"Sex before the age of 18 [Women]",50.3,2016
"Number of young women age 18-24",1984,2016
"Number of young women age 18-24 (unweighted)",1995,2016
"Sex before the age of 15 [Men]",14.6,2016
"Number of young men",1235,2016
"Number of young men (unweighted)",1307,2016
"Sex before the age of 18 [Men]",66.2,2016
"Number of young men age 18-24",848,2016
"Number of young men age 18-24 (unweighted)",888,2016
"Young women never having sexual intercourse",37.4,2016
"Young women having premarital sex in last year",57.1,2016
"Number of never-married young women",2508,2016
"Number of never-married young women (unweighted)",2621,2016
"Young women using a condom during premarital sex",62.7,2016
"Number of never-married young women who had sex in the past year",1431,2016
"Number of never-married young women who had sex in the past year (unweighted)",1471,2016
"Young men never having sexual intercourse",30.7,2016
"Young men having premarital sex in last year",62.5,2016
"Number of never-married men",1191,2016
"Number of never-married men (unweighted)",1268,2016
"Young men using a condom during premarital sex",75.9,2016
"Number of men",744,2016
"Number of men (unweighted)",783,2016
"Young women having multiple partners in last year",4.6,2016
"Number of young women",2842,2016
"Number of young women (unweighted)",2913,2016
"Sexually active young women having multiple partners in last year",7.5,2016
"Number of sexually active young women",1757,2016
"Number of sexually active young women (unweighted)",1754,2016
"Young women using a condom at last sexual intercourse",61.4,2016
"Number of young women",132,2016
"Number of young women (unweighted)",153,2016
"Young men having multiple partners in last year",20.7,2016
"Number of young men",1235,2016
"Number of young men (unweighted)",1307,2016
"Sexually active young men having multiple partners in last year",32.4,2016
"Number of sexually active young men",788,2016
"Number of sexually active young men (unweighted)",820,2016
"Young men using a condom at last sexual intercourse",72.9,2016
"Number of young men",256,2016
"Number of young men (unweighted)",244,2016
"Age-mixing in sexual partnerships (young women age 15-19, any partner in the last 12 months)",5.9,2016
"Number of young women",575,2016
"Number of young women (unweighted)",1153,2016
"Age-mixing in sexual partnerships (young men age 15-24, any partner in the last 12 months)",0.1,2016
"Number of young men",287,2016
"Number of young men (unweighted)",308,2016
"BCG vaccination received",96.8,1998
"DPT 1 vaccination received",93.3,1998
"DPT 2 vaccination received",86.2,1998
"DPT 3 vaccination received",76.4,1998
"Polio 0 vaccination received",91.2,1998
"Polio 1 vaccination received",91,1998
"Polio 2 vaccination received",82.7,1998
"Polio 3 vaccination received",72.1,1998
"Measles vaccination received",82.2,1998
"Fully vaccinated (8 basic antigens)",63.4,1998
"Received no vaccinations",2.2,1998
"Number of children 12-23 months",973,1998
"Number of children 12-23 months (unweighted)",971,1998
"BCG vaccination received",96.8,1998
"DPT 1 vaccination received",93.3,1998
"DPT 2 vaccination received",86.2,1998
"DPT 3 vaccination received",76.4,1998
"Polio 0 vaccination received",91.2,1998
"Polio 1 vaccination received",91,1998
"Polio 2 vaccination received",82.7,1998
"Polio 3 vaccination received",72.1,1998
"Measles vaccination received",82.2,1998
"Received no vaccinations",2.2,1998
"Number of children 12-23 months",973,1998
"Number of children 12-23 months (unweighted)",971,1998
"BCG vaccination received in first year",94.1,1998
"DPT 1 vaccination received in first year",91.1,1998
"DPT 2 vaccination received in first year",80.4,1998
"DPT 3 vaccination received in first year",70.5,1998
"Polio 0 vaccination received in first year",84.7,1998
"Polio 1 vaccination received in first year",87.3,1998
"Polio 2 vaccination received in first year",78,1998
"Polio 3 vaccination received in first year",62.7,1998
"Measles vaccination received in first year",40.2,1998
"Fully vaccinated (8 basic antigens)",40.9625,1998
"Received no vaccinations in first year",15.2,1998
"Percentage showing a vaccination card",61.8,1998
"Number of children one to four years of age",3734,1998
"Number of children one to four years of age (unweighted)",3761,1998
"BCG vaccination received",92.5,2016
"DPT 1 vaccination received",91.2,2016
"DPT 2 vaccination received",75.3,2016
"DPT 3 vaccination received",64.9,2016
"Polio 0 vaccination received",92.3,2016
"Polio 1 vaccination received",78.1,2016
"Measles vaccination received",86.1,2016
"Hepatitis 1 vaccination received",90.2,2016
"Hepatitis 2 vaccination received",73.4,2016
"Hepatitis 3 vaccination received",65,2016
"Haemophilus influenza type b 1 vaccination received",91.2,2016
"Haemophilus influenza type b 2 vaccination received",75.3,2016
"Haemophilus influenza type b 3 vaccination received",64.9,2016
"Fully vaccinated (8 basic antigens)",61.2,2016
"Received no vaccinations",5.3,2016
"Number of children 12-23 months",677,2016
"Number of children 12-23 months (unweighted)",670,2016
"BCG vaccination received",92.5,2016
"DPT 1 vaccination received",91.2,2016
"DPT 2 vaccination received",75.3,2016
"DPT 3 vaccination received",64.9,2016
"Polio 0 vaccination received",92.3,2016
"Polio 1 vaccination received",78.1,2016
"Measles vaccination received",86.1,2016
"Hepatitis 1 vaccination received",90.2,2016
"Hepatitis 2 vaccination received",73.4,2016
"Hepatitis 3 vaccination received",65,2016
"Haemophilus influenza type b 1 vaccination received",91.2,2016
"Haemophilus influenza type b 2 vaccination received",75.3,2016
"Haemophilus influenza type b 3 vaccination received",64.9,2016
"Received no vaccinations",5.3,2016
"Number of children 12-23 months",677,2016
"Number of children 12-23 months (unweighted)",670,2016
"BCG vaccination received in first year",91.4,2016
"DPT 1 vaccination received in first year",88.5,2016
"DPT 2 vaccination received in first year",72.7,2016
"DPT 3 vaccination received in first year",63.3,2016
"Polio 0 vaccination received in first year",89.9,2016
"Polio 1 vaccination received in first year",75.9,2016
"Measles vaccination received in first year",79.7,2016
"Fully vaccinated (8 basic antigens)",58.2,2016
"Received no vaccinations in first year",8.9,2016
"Percentage showing a vaccination card",63.7,2016
"Number of children one to four years of age",1337,2016
"Number of children one to four years of age (unweighted)",1346,2016
"Children ever breastfed",87.4,1998
"Children who started breastfeeding within 1 hour of birth",38.9,1998
"Children exclusively breastfed",6.9,1998
"Children breastfeeding and consuming plain water only",6.3,1998
"Children breastfeeding and consuming complementary foods",40.9,1998
"Children currently breastfeeding",83.4,1998
"Children using a bottle with a nipple",59.4,1998
"Median duration of any breastfeeding",16,1998
"Children ever breastfed",84,2016
"Children who started breastfeeding within 1 hour of birth",67.3,2016
"Children exclusively breastfed",31.6,2016
"Children breastfeeding and consuming plain water only",13.6,2016
"Children breastfeeding and consuming complementary foods",17.6,2016
"Children currently breastfeeding",74.8,2016
"Children using a bottle with a nipple",44.7,2016
"Median duration of any breastfeeding",10.7,2016
"Breastfed children 6-23 months fed both 4+ food groups and the minimum meal frequency",11.2,2016
"Non-breastfed children 6-23 months fed milk or milk products",68.4,2016
"Non-breastfed children 6-23 months with 3 IYCF practices",30.6,2016
"Children 6-23 months fed 5+ food groups",39.9,2016
"Children 6-23 months fed the minimum meal frequency",50.2,2016
"Children 6-23 months with 3 IYCF practices",22.5,2016
"Women with secondary or higher education",11.8,2016
"Women who can read a whole sentence",76.2,2016
"Women who can read part of a sentence",8.2,2016
"Women who cannot read at all",3.5,2016
"Women for whom no card with required language was available",0.1,2016
"Women who are blind/visually impaired",0.1,2016
"Women's literacy: Total",100,2016
"Women who are literate",96.3,2016
"Number of women",8514,2016
"Number of women (unweighted)",11805,2016
"Men with secondary or higher education",10.8,2016
"Men who can read a whole sentence",71.4,2016
"Men who can read part of a sentence",12.8,2016
"Men who cannot read at all",4.9,2016
"Men for whom no card with required language was available",0.1,2016
"Men who are blind/visually impaired",0,2016
"Men's literacy: Total",100,2016
"Men who are literate",94.9,2016
"Number of men",3202,2016
"Number of men (unweighted)",3179,2016
"Female deaths that are pregnancy-related",5.5,1998
"Number of pregnancy-related deaths",19,1998
"Years of exposure to the risk of mortality for women",122701,1998
"Years of exposure to the risk of mortality for women (unweighted)",123738,1998
"Pregnancy-related mortality rate",0.15,1998
"General fertility rate",97,1998
"Pregnancy-related mortality ratio",150,1998
"Pregnancy-related mortality ratio CI lower bound (PRMR-2SE)",77,1998
"Pregnancy-related mortality ratio CI upper bound (PRMR+2SE)",223,1998
"Lifetime risk of pregnancy-related death",0.005,1998
"Female deaths that are pregnancy-related",7.8,2016
"Number of pregnancy-related deaths",31,2016
"Years of exposure to the risk of mortality for women",62768,2016
"Years of exposure to the risk of mortality for women (unweighted)",63523,2016
"Pregnancy-related mortality rate",0.47,2016
"General fertility rate",88,2016
"Pregnancy-related mortality ratio",536,2016
"Pregnancy-related mortality ratio CI lower bound (PRMR-2SE)",270,2016
"Pregnancy-related mortality ratio CI upper bound (PRMR+2SE)",802,2016
"Lifetime risk of pregnancy-related death",0.015,2016
"Maternal mortality ratio",475,2016
"Households with an improved sanitation facility",50.1,1998
"Households with an unimproved sanitation facility",38.3,1998
"Households with a pit latrine without a slab or an open pit",31.2,1998
"Households with a bucket toilet",6,1998
"Households using open defecation",11.6,1998
"Households with don't know or missing information on toilet facility",0.7,1998
"Households total",100,1998
"Number of households",12247,1998
"Number of households (unweighted)",12247,1998
"Population with a pit latrine without a slab or an open pit",34.1,1998
"Population with a bucket toilet",5.7,1998
"Population with don't know or missing information on toilet facility",0.7,1998
"Population total",100,1998
"Number of persons",52007,1998
"Number of persons (unweighted)",52465,1998
"Households with an improved sanitation facility",95.6,2016
"Households with a flush or pour flush toilet to a piped sewer system",56.8,2016
"Households with a flush or pour flush toilet to a septic tank",1.7,2016
"Households with a flush or pour flush toilet to a pit latrine",1.3,2016
"Households with a ventilated improved pit latrine (VIP)",26,2016
"Households with a pit latrine with a slab",8,2016
"Households with a composting toilet",1.1,2016
"Households with an unimproved sanitation facility",2,2016
"Households with a flush or pour flush toilet not to a sewer, septic tank or pit latrine",0.4,2016
"Households with a bucket toilet",1.6,2016
"Households using open defecation",2.4,2016
"Households total",100,2016
"Number of households",11083,2016
"Number of households (unweighted)",11083,2016
"Population with a flush or pour flush toilet to a piped sewer system",54.3,2016
"Population with a flush or pour flush toilet to a septic tank",1.4,2016
"Population with a flush or pour flush toilet to a pit latrine",0.9,2016
"Population with a ventilated improved pit latrine (VIP)",28.1,2016
"Population with a pit latrine with a slab",9.9,2016
"Population with a composting toilet",1,2016
"Population with a flush or pour flush toilet not to a sewer, septic tank or pit latrine",0.4,2016
"Population with a bucket toilet",1.4,2016
"Population total",100,2016
"Number of persons",37205,2016
"Number of persons (unweighted)",37925,2016
"Households using an improved water source",86.3,1998
"Households using water piped into dwelling",38.9,1998
"Households using a public tap/standpipe",19.5,1998
"Households using a tubewell/borehole",3,1998
"Households using rainwater",0.7,1998
"Households using tanker truck",1,1998
"Households using bottled water",0.1,1998
"Households using an unimproved water source",13.2,1998
"Households using surface water",11.8,1998
"Households using other water source",1.4,1998
"Households with don't know or missing information on water source",0.5,1998
"Households: Total",100,1998
"Population using a tubewell/borehole",3.4,1998
"Population using rainwater",0.7,1998
"Population using tanker truck",0.9,1998
"Population using bottled water/demi john",0.1,1998
"Population using an unimproved water source",15.9,1998
"Population using surface water",14.4,1998
"Population using other water source",1.5,1998
"Population with don't know or missing information on water source",0.7,1998
"Population: Total",100,1998
"Households with water on the premises",63.2,1998
"Households with water 30 minutes or less away round trip",28.5,1998
"Households with water more than 30 minutes away round trip",6.7,1998
"Household with unknown or missing information on round trip time to water",1.6,1998
"Households: Total",100,1998
"Population with water on the premises",60.4,1998
"Population with water 30 minutes or less away round trip",29.5,1998
"Population with unknown or missing information on round trip time to water",1.7,1998
"Population: Total",100,1998
"Number of households",12247,1998
"Number of households (unweighted)",12247,1998
"Number of persons",52007,1998
"Number of persons (unweighted)",52465,1998
"Households using an improved water source",95.3,2016
"Households using water piped into dwelling",45.1,2016
"Households using a public tap/standpipe",14.1,2016
"Households using a tubewell/borehole",2.8,2016
"Households using a protected well",0.2,2016
"Households using a protected spring",0.3,2016
"Households using rainwater",0.5,2016
"Households using tanker truck",2.1,2016
"Households using bottled water",0.9,2016
"Households using an unimproved water source",4.7,2016
"Households using an unprotected well water",1.3,2016
"Households using an unprotected spring",0.9,2016
"Households using surface water",2.3,2016
"Households using other water source",0.3,2016
"Households: Total",100,2016
"Population using a tubewell/borehole",2.8,2016
"Population using a protected well",0.2,2016
"Population using a protected spring",0.4,2016
"Population using rainwater",0.5,2016
"Population using tanker truck",2,2016
"Population using bottled water/demi john",0.7,2016
"Population using an unimproved water source",6.6,2016
"Population using an unprotected well water",1.8,2016
"Population using an unprotected spring",1.2,2016
"Population using surface water",3.4,2016
"Population using other water source",0.2,2016
"Population: Total",100,2016
"Households with water on the premises",78.5,2016
"Households with water 30 minutes or less away round trip",16.4,2016
"Households with water more than 30 minutes away round trip",4.5,2016
"Household with unknown or missing information on round trip time to water",0.6,2016
"Households: Total",100,2016
"Population with water on the premises",76.7,2016
"Population with water 30 minutes or less away round trip",16.9,2016
"Population with unknown or missing information on round trip time to water",0.6,2016
"Population: Total",100,2016
"Households treating water by boiling",4.8,2016
"Households treating water by adding bleach/chlorine",1.2,2016
"Households treating water by straining through a cloth",0.1,2016
"Households treating water using a ceramic, sand or other filter",1.4,2016
"Households treating water using solar disinfection",0,2016
"Households treating water using other methods",0.7,2016
"Households not treating water",91.9,2016
"Households with missing information on treatment of water",0,2016
"Households using an appropriate treatment method",7.3,2016
"Number of households",11083,2016
"Number of households (unweighted)",11083,2016
"Population treating water by boiling",4.6,2016
