"Indicator","Value","SurveyYear"
"Haemophilus influenza type b 2 vaccination received",75.3,2016
"Haemophilus influenza type b 3 vaccination received",64.9,2016
"Received no vaccinations",5.3,2016
"Number of children 12-23 months",677,2016
"Number of children 12-23 months (unweighted)",670,2016
"Fully vaccinated (8 basic antigens)",58.2,2016
"Number of children one to four years of age",1337,2016
"Number of children one to four years of age (unweighted)",1346,2016
"Women with secondary or higher education",11.8,2016
"Women who are literate",96.3,2016
"Number of women",8514,2016
"Number of women (unweighted)",11805,2016
"Number of men",3202,2016
"Number of men (unweighted)",3179,2016
"Years of exposure to the risk of mortality for women",122701,1998
"Years of exposure to the risk of mortality for women (unweighted)",123738,1998
"Pregnancy-related mortality ratio",150,1998
"Years of exposure to the risk of mortality for women",62768,2016
"Years of exposure to the risk of mortality for women (unweighted)",63523,2016
"Pregnancy-related mortality ratio",536,2016
"Maternal mortality ratio",475,2016
"Number of households",12247,1998
"Number of households (unweighted)",12247,1998
"Number of persons",52007,1998
"Number of persons (unweighted)",52465,1998
"Number of households",11083,2016
"Number of households (unweighted)",11083,2016
"Number of persons",37205,2016
"Number of persons (unweighted)",37925,2016
"Number of households",12247,1998
"Number of households (unweighted)",12247,1998
"Number of persons",52007,1998
"Number of persons (unweighted)",52465,1998
"Number of households",11083,2016
"Number of households (unweighted)",11083,2016
"Number of persons",37205,2016
"Number of persons (unweighted)",37925,2016
